Script started on 2025-11-15 12:14:48+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1748519    28047    36015   98.42%           24       6876
 1751147    26998    34273   98.48%           24       6961
 1749862    27055    34107   98.48%           24       7046
 1741235    28314    35366   98.40%           24       7206
 1681643    27571    34564   98.39%           24       7296
 1415874    95018    36082   93.71%           24       6097
 1150511   112713    40210   91.08%           24       6609
 1548614    32157    22580   97.97%           24       6722
 1577729    14088    18757   99.11%           24       6795
 1587039    11785    18557   99.26%           24       6850
 1556512    28978    19851   98.17%           25       6557
 1549570    36613    22021   97.69%           25       6751
 1588344    14824    18284   99.08%           25       6789
 1583020    12277    18802   99.23%           25       6883
 1529067    34883    20606   97.77%           25       6743
 1536142    17869    19135   98.85%           25       6794
 1521762    12266    18397   99.20%           25       6887
 1581606    10958    17983   99.31%           25       6910
 1544264    11467    18564   99.26%           25       7001
 1494605    40944    20888   97.33%           25       6755
 1484633    23400    21756   98.45%           25       6903
 1555427    11043    20385   99.30%           25       6936
 1543561    10452    22589   99.33%           25       6964
 1528736    11674    18327   99.24%           25       7058
 1543787    10976    17783   99.29%           25       7080
 1530092    11466    18664   99.26%           25       7173
 1409976    55089    22246   96.24%           25       6856
 1457605    27570    20672   98.14%           25       7013
 1476031    14436    18322   99.03%           25       7050
 1442393    32882    38899   97.77%           25       7241
 1344961    55897    44584   96.01%           25       7107
 1648073    25531    23148   98.47%           25       7192
 1716606    12340    19176   99.29%           25       7287
 1675433    10857    17896   99.36%           25       7310
 1650400    22892    18197   98.63%           25       6855
 1588365    55575    15499   96.62%           25       6965
 1643316    12346    10471   99.25%           25       7022
 1701675     3909     9061   99.77%           25       7045
 1650471     1986     8696   99.88%           25       7061
 1697709     1398     8665   99.92%           25       7074
 1663339     1223     8501   99.93%           25       7086
 1710679        0    10975  100.00%           25       7099
 1673627        0     9942  100.00%           25       7111
 1670519        0     9871  100.00%           25       7124
 1732248      590    13126   99.97%           25       7141
 1663110     1336     8348   99.92%           25       7153
 1695325     1532     8760   99.91%           25       7167
 1659557     1294     8543   99.92%           25       7180
 1651766     1200     8523   99.93%           25       7192
 1685143     1274     8826   99.92%           25       7205
 1644827     1514     8641   99.91%           25       7218
 1703771     1675     8642   99.90%           25       7232
 1647330     1360     9106   99.92%           25       7245
 1659797     1237     8519   99.93%           25       7258
 1668339     1254     8805   99.92%           25       7270
 1634809     1334     8900   99.92%           25       7283
 1672982     1257     9085   99.92%           25       7296
 1640076     1228     8929   99.93%           25       7308
 1643666     1198     8623   99.93%           25       7320
 1673605     1240     8901   99.93%           25       7333
 1608686     6049    13125   99.63%           25       7382
 1540918    35880    45368   97.72%           25       7609
 1644929    65770    40959   96.16%           25       7515
 1761586    27860    35454   98.44%           25       7610
 1736447    28927    36756   98.36%           25       7778
 1728474    28592    35925   98.37%           25       7876
 1760667    26947    34703   98.49%           25       7963
 1770461    29429    36540   98.36%           25       8129
 1729650    26149    33319   98.51%           25       8185
 1279369   106319    38702   92.33%           25       7064
 1165589    98274    37763   92.22%           25       7520
 1566740    32281    22707   97.98%           25       7630
 1571271    20836    19520   98.69%           25       7436
 1583687    32786    21189   97.97%           25       7613
 1581414    14731    18133   99.08%           25       7650
 1626715    12125    18920   99.26%           25       7744
 1593106    11074    17813   99.31%           25       7767
 1624834    11166    18566   99.32%           25       7856
 1480502    48735    22273   96.81%           25       7645
 1561103    19251    19077   98.78%           25       7701
 1573655    13030    18292   99.18%           25       7797
 1579683    10903    17602   99.31%           25       7819
 1599260    12034    18923   99.25%           25       7913
 1464301    44554    21200   97.05%           25       7683
 1551098    22085    19393   98.60%           25       7752
 1531633    13779    18672   99.11%           25       7852
 1566316    11519    18091   99.27%           25       7877
 1522174     8622    21232   99.44%           25       7970
 1440350    36412    25821   97.53%           26       7726
 1550964    26729    22127   98.31%           26       7879
 1499932    12254    18747   99.19%           26       7911
 1570799    11475    18059   99.27%           26       7937
 1503052    11606    18533   99.23%           26       8030
 1458623    38629    22670   97.42%           26       7785
 1349921    53449    44830   96.19%           26       8071
 1511233    43513    20595   97.20%           26       7846
 1698026     4357     9905   99.74%           26       7873
 1745600     2238     9105   99.87%           26       7889
 1700244     1507     8605   99.91%           26       7903
 1735636     1276     9030   99.93%           26       7915
 1694911     1209     8427   99.93%           26       7927
 1721200     1441     8598   99.92%           26       7940
 1725207     1240     8775   99.93%           26       7953
 1684496     1169     8270   99.93%           26       7965
 1728459     1275     8925   99.93%           26       7977
 1681013     1899     9158   99.89%           26       7992
 1725178     1301     8853   99.92%           26       8005
 1683444        0    10192  100.00%           26       8017
 1698156        0    10237  100.00%           26       8030
 1698750        0     9688  100.00%           26       8042
 1670168       26     9662  100.00%           26       8054
 1746991      479     9656   99.97%           26       8068
 1677290      476     9201   99.97%           26       8080
 1708706      587     9437   99.97%           26       8092
 1673855     1112    12524   99.93%           26       8108
 1707537     1398     8610   99.92%           26       8122
 1674580     1535     8693   99.91%           26       8136
 1657365     1229     8445   99.93%           26       8148
 1698110     1205     8504   99.93%           26       8160
 1654390     1215     8613   99.93%           26       8172
 1694754     1544     8705   99.91%           26       8186
 1683032     1667     8466   99.90%           26       8199
 1713638     1242     8705   99.93%           26       8212
 1660071     1335     8483   99.92%           26       8225
 1650975     1194     8705   99.93%           26       8237
 1634767    15361    22391   99.07%           26       8358
 1489682    67527    43064   95.66%           26       8272
 1728448    35013    36801   98.01%           26       8463
 1793854    27234    34244   98.50%           26       8549
 1777819    28801    35520   98.41%           26       8645
 1748945    29781    36650   98.33%           26       8814
 1825800    27457    34324   98.52%           26       8901
 1736909    29062    35631   98.35%           26       9025
 1770636    25587    37061   98.58%           26       9117
 1082935   127600    43313   89.46%           26       8108
 1203633    71757    36102   94.37%           26       8394
 1582265    28654    22769   98.22%           26       8558
 1577369    14765    18921   99.07%           27       8597
 1621938    12382    18816   99.24%           27       8693
 1594453    11025    17565   99.31%           27       8716
 1623837    11024    18083   99.33%           27       8739
 1616475    11648    18573   99.28%           27       8833
 1526610    47227    22030   97.00%           27       8357
 1491493    44061    22734   97.13%           27       8582
 1553578    19618    19374   98.75%           27       8639
 1546121    13214    18219   99.15%           27       8671
 1556531    12032    18656   99.23%           27       8764
 1544439    27921    19673   98.22%           27       8468
 1492205    34501    21808   97.74%           27       8653
 1558454    16842    19181   98.93%           27       8701
 1522472    13934    18900   99.09%           27       8801
 1588658    10848    17702   99.32%           27       8823
 1501484    20509    18776   98.65%           27       8499
 1466527    36527    24441   97.57%           27       8703
