Script started on 2025-11-15 13:38:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1332483     1372     5845   99.90%           19       2681
 1316456     1342     5708   99.90%           19       2691
 1323370     1302     5521   99.90%           19       2702
 1295754     1322     5617   99.90%           19       2712
 1323983     1391     5971   99.90%           19       2723
 1360478     1340     5678   99.90%           19       2733
 1286336     6956    11299   99.46%           19       2788
 1190865    54210    40586   95.65%           19       2655
 1567127    24712     5505   98.45%           19       2761
 1601081     1489     5578   99.91%           19       2772
 1591479     1333     5731   99.92%           19       2782
 1574157     1312     5677   99.92%           19       2792
 1588998     1308     5588   99.92%           19       2803
 1588976     1289     5509   99.92%           19       2813
 1585754     1291     5569   99.92%           19       2823
 1583660     1296     5530   99.92%           19       2832
 1591896     1311     5659   99.92%           19       2843
 1573986     1326     5682   99.92%           19       2853
 1572109     1293     5565   99.92%           19       2864
 1575366     1306     5581   99.92%           19       2874
 1564976     1309     5633   99.92%           19       2884
 1579417     1333     5712   99.92%           19       2894
 1587834     1302     5543   99.92%           19       2905
 1552289     1318     5698   99.92%           19       2915
 1551512     1320     5705   99.91%           19       2925
 1542430     1321     5665   99.91%           19       2935
 1533459     1300     5627   99.92%           19       2946
 1525718     1314     5660   99.91%           19       2956
 1524876     1282     5549   99.92%           19       2966
 1540277     1296     5515   99.92%           19       2976
 1524872     1319     5659   99.91%           19       2987
 1525612     1301     5574   99.91%           19       2997
 1535055     1272     5374   99.92%           19       3007
 1537375     1358     5787   99.91%           19       3017
 1530060     1342     5761   99.91%           19       3028
 1492094     1294     5527   99.91%           19       3038
 1490037     1274     5454   99.91%           19       3048
 1493145     1302     5547   99.91%           19       3058
 1420968    41703    45794   97.15%           19       3384
 1636826    67414    30598   96.04%           19       3212
 1672903    30629    34006   98.20%           19       3320
 1680976    30615    34434   98.21%           20       3430
 1685109    32741    36265   98.09%           20       3622
 1661435    32472    36005   98.08%           20       3745
 1659075    30848    34331   98.17%           20       3856
 1728293    31308    33165   98.22%           20       3927
 1276499   195912    14549   86.69%           20       3153
 1456874    35022    14855   97.65%           20       3140
 1508205    19252    16139   98.74%           20       3264
 1489862    25906    15132   98.29%           20       3214
 1489919    16595    15244   98.90%           20       3130
 1506881    24091    16073   98.43%           20       3271
 1510810    12052    15151   99.21%           20       3298
 1521377    11884    15984   99.22%           20       3391
 1449350    39269    14561   97.36%           20       3261
 1494805    14619    15033   99.03%           20       3299
 1469411    12135    15909   99.18%           20       3393
 1483116    11266    15461   99.25%           20       3417
 1491523    11487    15553   99.24%           20       3505
 1421340    45921     6557   96.87%           20       3242
 1472654     6465     5538   99.56%           20       3274
 1463541     1754     5729   99.88%           20       3287
 1469603     1322     5505   99.91%           20       3297
 1467901     1295     5569   99.91%           20       3307
 1464146     1271     5495   99.91%           20       3317
 1486140     1274     5476   99.91%           20       3327
 1467053     1306     5653   99.91%           20       3337
 1460868     1275     5515   99.91%           20       3347
 1443068     1297     5576   99.91%           20       3357
 1437847     1322     5660   99.91%           20       3368
 1342028    37477    41193   97.28%           20       3659
 1542091    44192     9464   97.21%           20       3378
 1702609     2564     5371   99.85%           20       3395
 1675025     1297     5560   99.92%           20       3405
 1677970     1254     5415   99.93%           20       3414
 1672796     1210     5256   99.93%           20       3424
 1611244     1267     5449   99.92%           20       3434
 1524648     1291     5599   99.92%           20       3444
 1512955     1282     5533   99.92%           20       3454
 1500230     1284     5474   99.91%           20       3464
 1507410     1306     5657   99.91%           20       3474
 1509563     1308     5554   99.91%           20       3484
 1520297     1278     5507   99.92%           20       3495
 1507741     1304     5657   99.91%           20       3504
 1520238     1318     5634   99.91%           20       3515
 1478954     1325     5711   99.91%           20       3525
 1484167     1366     5621   99.91%           20       3535
 1468177     1238     5331   99.92%           20       3545
 1466442     1307     5637   99.91%           20       3556
 1487734     1328     5702   99.91%           20       3565
 1467529     1297     5541   99.91%           20       3576
 1476191     1255     5391   99.92%           20       3585
 1511078     1298     5553   99.91%           20       3596
 1463033     1272     5483   99.91%           20       3605
 1476253     1275     5452   99.91%           20       3616
 1457945     1276     5476   99.91%           20       3625
 1482338     1272     5521   99.91%           20       3636
 1478947     1275     5531   99.91%           20       3646
 1472554     1302     5623   99.91%           20       3656
 1453183     1269     5433   99.91%           20       3666
 1455915     1308     5625   99.91%           20       3675
 1417141     3797     7851   99.73%           20       3706
 1331298    74539    46230   94.70%           20       3684
 1610867    37072    32384   97.75%           20       3881
 1607853    28581    31932   98.25%           20       3973
 1598398    28052    31578   98.28%           20       4062
 1617064    31085    34938   98.11%           20       4241
 1643066    30136    33476   98.20%           21       4347
 1583033    29106    32840   98.19%           21       4444
 1406940   135420    23473   91.22%           21       3519
 1422502    72599    14839   95.14%           21       3845
 1486489    16769    14639   98.88%           21       3892
 1507607    11760    15239   99.23%           21       3980
 1470701    11665    15524   99.21%           21       4005
 1445476    34737    14985   97.65%           21       3735
 1415096    33754    15812   97.67%           21       3913
 1421306    13018    14282   99.09%           21       3937
 1451183    11741    15326   99.20%           21       4028
 1422466    11912    15877   99.17%           21       4058
 1411564    33696    11377   97.67%           21       3767
 1437611    21223     5713   98.55%           21       3851
 1461112     3797     5657   99.74%           21       3875
 1486225     1679     5749   99.89%           21       3887
 1452480     1366     5732   99.91%           21       3898
 1444005     1331     5660   99.91%           21       3908
 1491751     1358     5741   99.91%           21       3919
 1446510     1335     5740   99.91%           21       3929
 1436965     1309     5579   99.91%           21       3940
 1434372     1329     5760   99.91%           21       3950
 1412029     1295     5532   99.91%           21       3960
 1386346     1302     5568   99.91%           21       3970
 1439616     1312     5592   99.91%           21       3980
 1451059     1318     5582   99.91%           21       3991
 1413751     1304     5525   99.91%           21       4001
 1301740    38752    42772   97.11%           21       4304
 1508880    43071     8566   97.22%           21       4011
 1615760     3248     5411   99.80%           21       4028
 1626204     1346     5416   99.92%           21       4038
 1644756     1303     5581   99.92%           21       4049
 1660311     1278     5518   99.92%           21       4059
 1628085     1252     5382   99.92%           21       4068
 1645135     1264     5472   99.92%           21       4078
 1652153     1303     5529   99.92%           21       4088
 1622145     1294     5520   99.92%           21       4099
 1619537     1303     5558   99.92%           21       4109
 1622501    24279     3783   98.53%           29       4196
 1640465     9391     5241   99.43%           32       4235
 1608939     1254     5350   99.92%           32       4245
 1587340     1244     5401   99.92%           32       4255
 1604420     1294     5636   99.92%           32       4265
 1585525     1287     5551   99.92%           32       4275
 1611183     1236     5459   99.92%           32       4285
 1617361     1281     5492   99.92%           32       4295
 1610831     1315     5668   99.92%           32       4305
 1585679     1302     5672   99.92%           32       4316
 1579243     1305     5618   99.92%           32       4326
 1590740     1310     5671   99.92%           32       4336
 1559168     1282     5539   99.92%           32       4346
 1520146     1281     5552   99.92%           32       4356
 1528696     1315     5668   99.91%           32       4366
 1517117     1303     5610   99.91%           32       4377
 1536537     1281     5545   99.92%           32       4386
 1516336     1295     5551   99.91%           32       4397
 1513861     1313     5615   99.91%           32       4407
 1505639     1269     5480   99.92%           32       4417
 1504826     1295     5549   99.91%           32       4427
 1410342    36711    40809   97.46%           32       4714
 1498502    69006    31742   95.60%           32       4548
 1703864    29395    33197   98.30%           32       4648
 1658760    31055    34688   98.16%           32       4826
 1653951    30101    33672   98.21%           32       4931
 1668878    30363    33914   98.21%           32       5038
 1650780    29564    33167   98.24%           32       5139
 1644076    32110    35648   98.08%           32       5325
 1322008   166166    17314   88.83%           32       4381
 1512686    51509    14966   96.71%           32       4559
 1497930    16858    15701   98.89%           32       4671
 1503107    11952    15292   99.21%           32       4697
 1503266    12360    16082   99.18%           32       4792
 1447674    48621    15151   96.75%           32       4574
 1475705    20484    15085   98.63%           32       4634
