Script started on 2025-11-15 12:43:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1637556     1453     8485   99.91%           78       5396
 1697254     1353     8828   99.92%           78       5410
 1647095     1235     8600   99.93%           78       5422
 1624546     1337     8606   99.92%           78       5434
 1664080     1219     8845   99.93%           78       5448
 1612106     1215     8680   99.92%           78       5459
 1618211     1251     8649   99.92%           78       5472
 1644260     1226     8793   99.93%           78       5484
 1556130     1216     8769   99.92%           78       5497
 1567163     1537     8684   99.90%           78       5510
 1565486     1469     8645   99.91%           78       5523
 1557305       50     9787  100.00%           78       5537
 1577647        0    10034  100.00%           78       5551
 1545183      137     9441   99.99%           78       5562
 1540483      610     9499   99.96%           78       5575
 1574224      553     9324   99.96%           78       5589
 1535409      721     8894   99.95%           78       5602
 1529344     9417    16866   99.39%           78       5675
 1427660    34066    42287   97.67%           78       5949
 1572750    65258    36046   96.02%           78       5761
 1657665    27081    34546   98.39%           78       5912
 1717306    26597    33497   98.47%           78       5991
 1658335    28115    35063   98.33%           78       6086
 1707400    28679    35911   98.35%           78       6249
 1708525    26780    33799   98.46%           78       6331
 1640825    28692    39070   98.28%           78       6496
 1543530    53909    33278   96.63%           78       5941
 1033010   151455    39410   87.21%           78       5733
 1476880    37568    23594   97.52%           78       5866
 1482285    15122    19569   98.99%           78       5973
 1529986    11429    17875   99.26%           78       5998
 1593796    10654    17713   99.34%           78       6083
 1408875    50632    21914   96.53%           78       5879
 1525840    18042    18670   98.83%           78       5929
 1495420    13003    18665   99.14%           78       6027
 1448951    29117    19644   98.03%           78       5863
 1487818    23380    20086   98.45%           78       6002
 1463826    12493    18255   99.15%           78       6032
 1493372    10813    17963   99.28%           78       6052
 1482736    11613    18829   99.22%           78       6146
 1421026    32766    20297   97.75%           78       5867
 1492970    34040    24632   97.77%           78       6055
 1434109    14056    18121   99.03%           78       6091
 1478537    11997    18265   99.20%           78       6184
 1458860    10766    17809   99.27%           78       6206
 1443496    10921    17434   99.25%           78       6227
 1495433    11215    18647   99.26%           78       6317
 1367506    40064    17348   97.15%           78       5927
 1391461    28740    12028   97.98%           78       6051
 1462394     5131     9433   99.65%           78       6080
 1357021    25291    31701   98.17%           78       6278
 1332976    45938    33000   96.67%           78       6057
 1587857    14974    13947   99.07%           78       6128
