seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
195,15,READ,0,717724,0,62861425158767,62861425162241,62861425261516,3474,99275
196,15,READ,0,717726,0,62861425167360,62861425173294,62861425261754,5934,88460
199,15,READ,0,717732,0,62861425216747,62861425224744,62861425295611,7997,70867
198,15,READ,0,717730,0,62861425211225,62861425221773,62861425313098,10548,91325
200,15,READ,0,717734,0,62861425245766,62861425254559,62861425333471,8793,78912
202,15,READ,0,717738,0,62861425270614,62861425273636,62861425358928,3022,85292
201,15,READ,0,717736,0,62861425260792,62861425265587,62861425361269,4795,95682
203,15,READ,0,717740,0,62861425277147,62861425283153,62861425365756,6006,82603
204,15,READ,0,717742,0,62861425279840,62861425290187,62861425392617,10347,102430
205,15,READ,0,717744,0,62861425285624,62861425291667,62861425412516,6043,120849
206,15,READ,0,717746,0,62861425312284,62861425321792,62861425414595,9508,92803
207,15,READ,0,717748,0,62861425342645,62861425350799,62861425425380,8154,74581
208,15,READ,0,717750,0,62861425361396,62861425367990,62861425442877,6594,74887
209,15,READ,0,717752,0,62861425375938,62861425382546,62861425457144,6608,74598
210,15,READ,0,717754,0,62861425390363,62861425398479,62861425493417,8116,94938
213,15,READ,0,717760,0,62861425435912,62861425443216,62861425519366,7304,76150
212,15,READ,0,717758,0,62861425428961,62861425431316,62861425520298,2355,88982
211,15,READ,0,717756,0,62861425418082,62861425423825,62861425525360,5743,101535
214,15,READ,0,717762,0,62861425452691,62861425461662,62861425534461,8971,72799
217,15,READ,0,717768,0,62861425475964,62861425486812,62861425577461,10848,90649
216,15,READ,0,717766,0,62861425470633,62861425484855,62861425586246,14222,101391
219,15,READ,0,717772,0,62861425533823,62861425539621,62861425611103,5798,71482
220,15,READ,0,717774,0,62861425541524,62861425549060,62861425624774,7536,75714
218,15,READ,0,717770,0,62861425509581,62861425519473,62861425639425,9892,119952
221,15,READ,0,717776,0,62861425561282,62861425568633,62861425669443,7351,100810
222,15,READ,0,717778,0,62861425582621,62861425588428,62861425674938,5807,86510
224,15,READ,0,717782,0,62861425617681,62861425625333,62861425703393,7652,78060
225,15,READ,0,717784,0,62861425626436,62861425631020,62861425707357,4584,76337
223,15,READ,0,717780,0,62861425594744,62861425599380,62861425708278,4636,108898
226,15,READ,0,717786,0,62861425640194,62861425646882,62861425722613,6688,75731
227,15,READ,0,717788,0,62861425658263,62861425665396,62861425749423,7133,84027
215,16,WRITE,0,717764,0,62861425457724,62861425464585,62861425781222,6861,316637
228,15,READ,0,717790,0,62861425688828,62861425695629,62861425785202,6801,89573
229,15,READ,0,717792,0,62861425708398,62861425716124,62861425790999,7726,74875
230,15,READ,0,717794,0,62861425733133,62861425744894,62861425831889,11761,86995
232,15,READ,0,717798,0,62861425741540,62861425749275,62861425841937,7735,92662
231,15,READ,0,717796,0,62861425738479,62861425748870,62861425843021,10391,94151
233,15,READ,0,717800,0,62861425749297,62861425757132,62861425845383,7835,88251
234,15,READ,0,717802,0,62861425768037,62861425773144,62861425859900,5107,86756
235,15,READ,0,717804,0,62861425808763,62861425815400,62861425891482,6637,76082
237,15,READ,0,717808,0,62861425842070,62861425850986,62861425926240,8916,75254
236,15,READ,0,717806,0,62861425820968,62861425831773,62861425938165,10805,106392
238,15,READ,0,717810,0,62861425857640,62861425867209,62861425939340,9569,72131
239,15,READ,0,717812,0,62861425863489,62861425868237,62861425952206,4748,83969
241,15,READ,0,717816,0,62861425879917,62861425886220,62861425964450,6303,78230
240,15,READ,0,717814,0,62861425870587,62861425875530,62861425981106,4943,105576
