Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

01:08:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:29 PM   35    2.04    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   71.43
01:08:29 PM   36    4.95    0.00   16.83    0.00    0.00    0.00    0.00    0.00    0.00   78.22
01:08:29 PM   37    6.06    0.00   19.19    0.00    0.00    0.00    0.00    0.00    0.00   74.75
01:08:29 PM   38    2.02    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   67.68
01:08:29 PM   39    2.02    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00   70.71

01:08:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:30 PM  all    4.33    0.00   82.61    0.00    0.00    0.00    0.00    0.00    0.00   13.06
01:08:30 PM    0    2.00    0.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:30 PM    1    2.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:30 PM    2    2.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
01:08:30 PM    3    2.97    0.00   86.14    0.00    0.00    0.00    0.00    0.00    0.00   10.89
01:08:30 PM    4    3.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:30 PM    5    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM    6    4.95    0.00   93.07    0.00    0.00    0.00    0.00    0.00    0.00    1.98
01:08:30 PM    7    3.96    0.00   89.11    0.00    0.00    0.00    0.00    0.00    0.00    6.93
01:08:30 PM    8    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM    9    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   10    7.00    0.00   72.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
01:08:30 PM   11    4.95    0.00   68.32    0.00    0.00    0.00    0.00    0.00    0.00   26.73
01:08:30 PM   12    8.16    0.00   56.12    0.00    0.00    0.00    0.00    0.00    0.00   35.71
01:08:30 PM   13    5.05    0.00   77.78    0.00    0.00    0.00    0.00    0.00    0.00   17.17
01:08:30 PM   14    8.08    0.00   66.67    0.00    0.00    0.00    0.00    0.00    0.00   25.25
01:08:30 PM   15    3.00    0.00   76.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
01:08:30 PM   16    4.00    0.00   77.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
01:08:30 PM   17    4.04    0.00   70.71    0.00    0.00    0.00    0.00    0.00    0.00   25.25
01:08:30 PM   18    4.95    0.00   71.29    0.00    0.00    0.00    0.00    0.00    0.00   23.76
